service_id,date,exception_type
18177043150-20170705140526_v55.10,20170717,2
18177043150-20170705140526_v55.10,20170714,2
18177043150-20170705140526_v55.10,20170720,2
18177043150-20170705140526_v55.10,20170713,2
18177043150-20170705140526_v55.10,20170721,2
18177043150-20170705140526_v55.10,20170718,2
18177043150-20170705140526_v55.10,20170719,2
18290043290-20170602141618_v54.27,20170712,2
18290043290-20170602141618_v54.27,20170710,2
18290043290-20170602141618_v54.27,20170711,2
23100070999-20170602141618_v54.27,20170616,2
18207069383-20170705140526_v55.10,20170717,2
18207069383-20170705140526_v55.10,20170714,2
18207069383-20170705140526_v55.10,20170720,2
18207069383-20170705140526_v55.10,20170713,2
18207069383-20170705140526_v55.10,20170721,2
18207069383-20170705140526_v55.10,20170718,2
18207069383-20170705140526_v55.10,20170719,2
23100070940-20170602141618_v54.27,20170616,2
18242080617-20170705140526_v55.10,20170717,2
18242080617-20170705140526_v55.10,20170714,2
18242080617-20170705140526_v55.10,20170720,2
18242080617-20170705140526_v55.10,20170713,2
18242080617-20170705140526_v55.10,20170721,2
18242080617-20170705140526_v55.10,20170718,2
18242080617-20170705140526_v55.10,20170719,2
50051080783-20170602141618_v54.27,20170616,1
23100071213-20170602141618_v54.27,20170616,2
17000070383-20170602141618_v54.27,20170616,2
17000083906-20170602141618_v54.27,20170616,1
18043080607-20170602141618_v54.27,20170712,2
18043080607-20170602141618_v54.27,20170710,2
18043080607-20170602141618_v54.27,20170711,2
14064080591-20170602141618_v54.27,20170712,2
14064080591-20170602141618_v54.27,20170710,2
14064080591-20170602141618_v54.27,20170711,2
21203083170-20170705140526_v55.10,20170717,2
21203083170-20170705140526_v55.10,20170714,2
21203083170-20170705140526_v55.10,20170720,2
21203083170-20170705140526_v55.10,20170713,2
21203083170-20170705140526_v55.10,20170721,2
21203083170-20170705140526_v55.10,20170718,2
21203083170-20170705140526_v55.10,20170719,2
1130082500-20170705140526_v55.10,20170717,2
1130082500-20170705140526_v55.10,20170714,2
1130082500-20170705140526_v55.10,20170720,2
1130082500-20170705140526_v55.10,20170713,2
1130082500-20170705140526_v55.10,20170721,2
1130082500-20170705140526_v55.10,20170718,2
1130082500-20170705140526_v55.10,20170719,2
14770066682-20170705140526_v55.10,20170717,1
14770066682-20170705140526_v55.10,20170714,1
14770066682-20170705140526_v55.10,20170720,1
14770066682-20170705140526_v55.10,20170713,1
14770066682-20170705140526_v55.10,20170721,1
14770066682-20170705140526_v55.10,20170718,1
14770066682-20170705140526_v55.10,20170719,1
23100083956-20170602141618_v54.27,20170616,1
18219080627-20170705140526_v55.10,20170717,2
18219080627-20170705140526_v55.10,20170714,2
18219080627-20170705140526_v55.10,20170720,2
18219080627-20170705140526_v55.10,20170713,2
18219080627-20170705140526_v55.10,20170721,2
18219080627-20170705140526_v55.10,20170718,2
18219080627-20170705140526_v55.10,20170719,2
21300043145-20170705140526_v55.10,20170717,2
21300043145-20170705140526_v55.10,20170714,2
21300043145-20170705140526_v55.10,20170720,2
21300043145-20170705140526_v55.10,20170713,2
21300043145-20170705140526_v55.10,20170721,2
21300043145-20170705140526_v55.10,20170718,2
21300043145-20170705140526_v55.10,20170719,2
17000070474-20170602141618_v54.27,20170616,2
21217080517-20170705140526_v55.10,20170717,2
21217080517-20170705140526_v55.10,20170714,2
21217080517-20170705140526_v55.10,20170720,2
21217080517-20170705140526_v55.10,20170713,2
21217080517-20170705140526_v55.10,20170721,2
21217080517-20170705140526_v55.10,20170718,2
21217080517-20170705140526_v55.10,20170719,2
18184083196-20170705140526_v55.10,20170717,2
18184083196-20170705140526_v55.10,20170714,2
18184083196-20170705140526_v55.10,20170720,2
18184083196-20170705140526_v55.10,20170713,2
18184083196-20170705140526_v55.10,20170721,2
18184083196-20170705140526_v55.10,20170718,2
18184083196-20170705140526_v55.10,20170719,2
50051080785-20170602141618_v54.27,20170616,1
18075080586-20170705140526_v55.10,20170717,2
18075080586-20170705140526_v55.10,20170714,2
18075080586-20170705140526_v55.10,20170720,2
18075080586-20170705140526_v55.10,20170713,2
18075080586-20170705140526_v55.10,20170721,2
18075080586-20170705140526_v55.10,20170718,2
18075080586-20170705140526_v55.10,20170719,2
21021083108-20170602141618_v54.27,20170712,2
21021083108-20170602141618_v54.27,20170710,2
21021083108-20170602141618_v54.27,20170711,2
21202083169-20170705140526_v55.10,20170717,2
21202083169-20170705140526_v55.10,20170714,2
21202083169-20170705140526_v55.10,20170720,2
21202083169-20170705140526_v55.10,20170713,2
21202083169-20170705140526_v55.10,20170721,2
21202083169-20170705140526_v55.10,20170718,2
21202083169-20170705140526_v55.10,20170719,2
21249080533-20170602141618_v54.27,20170712,2
21249080533-20170602141618_v54.27,20170710,2
21249080533-20170602141618_v54.27,20170711,2
17000083901-20170602141618_v54.27,20170616,1
18105067295-20170705140526_v55.10,20170717,2
18105067295-20170705140526_v55.10,20170714,2
18105067295-20170705140526_v55.10,20170720,2
18105067295-20170705140526_v55.10,20170713,2
18105067295-20170705140526_v55.10,20170721,2
18105067295-20170705140526_v55.10,20170718,2
18105067295-20170705140526_v55.10,20170719,2
18082080611-20170705140526_v55.10,20170717,2
18082080611-20170705140526_v55.10,20170714,2
18082080611-20170705140526_v55.10,20170720,2
18082080611-20170705140526_v55.10,20170713,2
18082080611-20170705140526_v55.10,20170721,2
18082080611-20170705140526_v55.10,20170718,2
18082080611-20170705140526_v55.10,20170719,2
21091083185-20170602141618_v54.27,20170712,2
21091083185-20170602141618_v54.27,20170710,2
21091083185-20170602141618_v54.27,20170711,2
23500072568-20170602141618_v54.27,20170617,2
21017043312-20170705140526_v55.10,20170717,2
21017043312-20170705140526_v55.10,20170714,2
21017043312-20170705140526_v55.10,20170720,2
21017043312-20170705140526_v55.10,20170713,2
21017043312-20170705140526_v55.10,20170721,2
21017043312-20170705140526_v55.10,20170718,2
21017043312-20170705140526_v55.10,20170719,2
18173043210-20170602141618_v54.27,20170712,2
18173043210-20170602141618_v54.27,20170710,2
18173043210-20170602141618_v54.27,20170711,2
21207083144-20170705140526_v55.10,20170717,2
21207083144-20170705140526_v55.10,20170714,2
21207083144-20170705140526_v55.10,20170720,2
21207083144-20170705140526_v55.10,20170713,2
21207083144-20170705140526_v55.10,20170721,2
21207083144-20170705140526_v55.10,20170718,2
21207083144-20170705140526_v55.10,20170719,2
18306043287-20170705140526_v55.10,20170717,2
18306043287-20170705140526_v55.10,20170714,2
18306043287-20170705140526_v55.10,20170720,2
18306043287-20170705140526_v55.10,20170713,2
18306043287-20170705140526_v55.10,20170721,2
18306043287-20170705140526_v55.10,20170718,2
18306043287-20170705140526_v55.10,20170719,2
21276080556-20170705140526_v55.10,20170717,2
21276080556-20170705140526_v55.10,20170714,2
21276080556-20170705140526_v55.10,20170720,2
21276080556-20170705140526_v55.10,20170713,2
21276080556-20170705140526_v55.10,20170721,2
21276080556-20170705140526_v55.10,20170718,2
21276080556-20170705140526_v55.10,20170719,2
1057083128-20170705140526_v55.10,20170717,2
1057083128-20170705140526_v55.10,20170714,2
1057083128-20170705140526_v55.10,20170720,2
1057083128-20170705140526_v55.10,20170713,2
1057083128-20170705140526_v55.10,20170721,2
1057083128-20170705140526_v55.10,20170718,2
1057083128-20170705140526_v55.10,20170719,2
18259083199-20170602141618_v54.27,20170712,2
18259083199-20170602141618_v54.27,20170710,2
18259083199-20170602141618_v54.27,20170711,2
50051071495-20170602141618_v54.27,20170616,2
1050083235-20170705140526_v55.10,20170717,2
1050083235-20170705140526_v55.10,20170714,2
1050083235-20170705140526_v55.10,20170720,2
1050083235-20170705140526_v55.10,20170713,2
1050083235-20170705140526_v55.10,20170721,2
1050083235-20170705140526_v55.10,20170718,2
1050083235-20170705140526_v55.10,20170719,2
50051071294-20170602141618_v54.27,20170616,2
21270043184-20170705140526_v55.10,20170717,2
21270043184-20170705140526_v55.10,20170714,2
21270043184-20170705140526_v55.10,20170720,2
21270043184-20170705140526_v55.10,20170713,2
21270043184-20170705140526_v55.10,20170721,2
21270043184-20170705140526_v55.10,20170718,2
21270043184-20170705140526_v55.10,20170719,2
17000083861-20170602141618_v54.27,20170616,1
17000070589-20170602141618_v54.27,20170708,2
17000070589-20170602141618_v54.27,20170624,2
23100071243-20170602141618_v54.27,20170616,2
18192083217-20170602141618_v54.27,20170712,2
18192083217-20170602141618_v54.27,20170710,2
18192083217-20170602141618_v54.27,20170711,2
18298072924-20170705140526_v55.10,20170717,2
18298072924-20170705140526_v55.10,20170714,2
18298072924-20170705140526_v55.10,20170720,2
18298072924-20170705140526_v55.10,20170713,2
18298072924-20170705140526_v55.10,20170721,2
18298072924-20170705140526_v55.10,20170718,2
18298072924-20170705140526_v55.10,20170719,2
1130082497-20170705140526_v55.10,20170717,1
1130082497-20170705140526_v55.10,20170714,1
1130082497-20170705140526_v55.10,20170720,1
1130082497-20170705140526_v55.10,20170713,1
1130082497-20170705140526_v55.10,20170721,1
