service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
12843041248-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1138083696-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
3886005615-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
2365061596-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
2358034790-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14392072113-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
17000070575-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
14258065175-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3905068542-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1981053617-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
4975069231-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
4973069077-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
2366079426-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
7004018627-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
2362074319-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
4973069052-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1028082965-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,1
4975007245-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1084078525-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
14797028999-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
14274053028-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14312054614-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
13223081529-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,1
14322062761-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
5565034768-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
1097077037-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
14797029092-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
4973069019-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
17000070701-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
3100069299-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
12879065699-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
8300033751-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
14312054655-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
7004018597-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
12858065877-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
12843041293-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14312054727-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
14302054411-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3886005717-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
3945041891-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
12843041296-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
7380059322-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
14625040083-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
7380072015-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
50051071499-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
15532054170-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1095078180-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3813046648-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1098079071-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,1,1
23100071150-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
2353061132-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
6008081036-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
3100034343-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
14390070037-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
3779041013-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14721047074-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1981053499-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
7007080343-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
5552011831-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
12875065569-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
50051071482-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1985054076-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
2353061154-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
13220081272-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14797028824-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
5550034605-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3945041965-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
17000083773-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,0
4955068680-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
4974069179-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
1098079045-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14030042422-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
13223081537-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
4973069087-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
5589032313-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
5580063577-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,1,0
14020043049-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
14799064806-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
2391062484-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,1
18025072770-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
2358034789-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
3100033998-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
6008081085-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
4974069124-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14798066228-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
5515058646-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
12875065590-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
17000070491-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1992054130-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
5550034631-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1981053504-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
50051071323-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
12879065709-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
5552011777-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
14731045612-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14243081835-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
1983053886-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
7380071988-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,0,1
4953068643-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14312054662-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14255066333-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
4955068679-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
1981053497-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
4915006289-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
14721047129-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14731045748-20170602141618_v54.27,20170611,20170712,0,0,0,0,0,0,1
14605043851-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14299069623-20170705140526_v55.10,20170713,20171001,0,0,0,0,0,1,0
18171011884-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14267044483-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
14267065296-20170705140526_v55.10,20170713,20171001,1,1,1,1,1,0,0
14010042450-20170602141618_v54.27,20170611,20170712,1,1,1,1,1,0,0
